"","Name","Frequency"
"1208","AKSHARA",7
"1209","ALANNAH",7
"1210","ALBA",7
"1211","ALEESA",7
"1212","ALLY",7
"1213","ALTHEA",7
"1214","AMIA",7
"1215","ANGIE",7
"1216","ANISA",7
"1217","ARABELLE",7
"1218","ARIANE",7
"1219","ARISHA",7
"1220","ARWYN",7
"1221","ASMA",7
"1222","AUGUST",7
"1223","AVANI",7
"1224","AYLIN",7
"1225","AZRA",7
"1226","BAILEE",7
"1227","BILLIE",7
"1228","BRENNA",7
"1229","BRYNLEIGH",7
"1230","CATHY",7
"1231","CHARLENE",7
"1232","CHEYENNE",7
"1233","CLARKE",7
"1234","CORALINE",7
"1235","DENISE",7
"1236","DIVYA",7
"1237","DORIS",7
"1238","EILA",7
"1239","ELAYNA",7
"1240","ELEANA",7
"1241","ELINOR",7
"1242","ELLENA",7
"1243","ELLIA",7
"1244","ELLIOTTE",7
